timestamp,X,Y,Z
1724407657702,12.000000,-969.000000,-255.000000
1724407657712,-3.000000,-971.000000,-256.000000
1724407657718,-22.000000,-971.000000,-252.000000
1724407657749,-8.000000,-968.000000,-253.000000
1724407657757,20.000000,-967.000000,-254.000000
1724407657794,16.000000,-972.000000,-255.000000
1724407657805,1.000000,-973.000000,-254.000000
1724407657814,-6.000000,-970.000000,-249.000000
1724407657836,-5.000000,-967.000000,-243.000000
1724407657888,4.000000,-969.000000,-238.000000
1724407657905,12.000000,-972.000000,-238.000000
1724407657917,16.000000,-973.000000,-242.000000
1724407657923,12.000000,-977.000000,-243.000000
1724407657935,4.000000,-973.000000,-242.000000
1724407657945,0.000000,-968.000000,-239.000000
1724407657971,-3.000000,-970.000000,-233.000000
1724407657983,-1.000000,-973.000000,-228.000000
1724407658014,1.000000,-975.000000,-229.000000
1724407658020,1.000000,-973.000000,-237.000000
1724407658027,1.000000,-971.000000,-244.000000
1724407658064,2.000000,-970.000000,-243.000000
1724407658073,10.000000,-969.000000,-237.000000
1724407658110,19.000000,-972.000000,-231.000000
1724407658149,19.000000,-972.000000,-231.000000
1724407658160,13.000000,-978.000000,-232.000000
1724407658168,-6.000000,-976.000000,-234.000000
1724407658174,-13.000000,-975.000000,-231.000000
1724407658196,-4.000000,-976.000000,-230.000000
1724407658202,8.000000,-976.000000,-235.000000
1724407658242,18.000000,-975.000000,-244.000000
1724407658252,13.000000,-973.000000,-249.000000
1724407658260,0.000000,-972.000000,-245.000000
1724407658289,1.000000,-974.000000,-238.000000
1724407658302,9.000000,-975.000000,-231.000000
1724407658328,7.000000,-974.000000,-230.000000
1724407658332,0.000000,-973.000000,-230.000000
1724407658337,4.000000,-972.000000,-232.000000
1724407658384,10.000000,-975.000000,-236.000000
1724407658394,13.000000,-977.000000,-236.000000
1724407658428,13.000000,-978.000000,-236.000000
1724407658443,3.000000,-976.000000,-235.000000
1724407658463,0.000000,-971.000000,-229.000000
1724407658470,2.000000,-970.000000,-224.000000
1724407658475,7.000000,-972.000000,-223.000000
1724407658510,9.000000,-978.000000,-227.000000
1724407658522,2.000000,-979.000000,-234.000000
1724407658555,-5.000000,-977.000000,-237.000000
1724407658563,2.000000,-976.000000,-236.000000
1724407658569,2.000000,-976.000000,-236.000000
1724407658650,15.000000,-975.000000,-238.000000
1724407658666,16.000000,-975.000000,-241.000000
1724407658679,13.000000,-973.000000,-243.000000
1724407658690,7.000000,-974.000000,-239.000000
